x,y,z,color,frame_number,delta_time
10.815456897787854,1.933924984975979,37.26876803889964,orange,34,2.114804744720459
10.869754405250113,2.5687777231378925,36.67246775027724,orange,37,0.18720149993896484
11.225485596374707,3.474454430486778,36.48115474101089,orange,39,0.12514448165893555
11.510070549274381,4.198995796365886,36.32810433359781,orange,40,0.06192278861999512
11.805400659756877,4.84629103723193,36.205664007667345,orange,41,0.07471799850463867
12.092411359264942,5.499451526250279,36.10771174692297,orange,42,0.07639956474304199
12.305104381830706,6.123473139709095,36.02934993832748,orange,44,0.1548759937286377
12.475258799883317,6.622690430476146,35.96666049145108,orange,45,0.07679581642150879
12.522374238107716,6.93686887078237,35.6307817123184,orange,46,0.0771172046661377
12.682905758986303,7.239575941253388,35.64780591064382,orange,47,0.09374523162841797
12.461146987563243,7.430377279404165,35.37569804767259,orange,50,0.2770864963531494
12.101022289108123,7.5199907912170385,34.89426355271263,orange,51,0.09378623962402344
11.252802636036364,7.548358782937072,34.264904656204855,orange,53,0.18706536293029785
10.556616158189232,7.629990335927077,34.00562883953844,orange,54,0.09350395202636719
9.785780373381884,7.823903372938424,34.06195639078829,orange,55,0.10789299011230469
-9.131041238145016,6.293484720912824,29.55798844464454,orange,76,2.1488192081451416
-9.21503562896775,6.279485655775702,29.55798844464454,orange,77,0.10692310333251953
-9.450219923271401,6.212290143117516,29.55798844464454,orange,78,0.10785341262817383
-9.857879783300524,5.990172008480332,29.176595045358805,orange,79,0.10882925987243652
-10.354254366701081,5.786285701481775,28.871480325930218,orange,80,0.12237954139709473
-10.856121230576765,5.610080756238526,28.627388550387348,orange,81,0.12330985069274902
-11.45163141664492,5.51535096951158,28.61645527294116,orange,82,0.13889193534851074
-11.955104424764547,5.426034710497472,28.607708650984208,orange,83,0.12270498275756836
-12.479674697953213,5.368114132918738,28.600711353418646,orange,84,0.1368269920349121
-13.04818764246221,5.348842530120852,28.595113515366197,orange,85,0.1397409439086914
-13.638322294394921,5.333425247882545,28.590635244924236,orange,86,0.14111590385437012
-14.218689453001502,5.321091422091898,28.587052628570667,orange,87,0.1399397850036621
-14.791242616947178,5.297691931826829,28.584186535487813,orange,88,0.13724040985107422
-15.384609444429234,5.251907480349672,28.58189366102153,orange,89,0.13920211791992188
-15.899900195312533,5.201747489535395,28.580059361448505,orange,90,0.13855767250061035
-16.285067936754068,5.1074897783537665,28.578591921790085,orange,91,0.15598392486572266
-16.660864278070054,4.666708009329576,28.577417970063347,orange,92,0.15458011627197266
-17.0291634992856,4.0975637199894015,28.57647880868196,orange,93,0.18537306785583496
-17.269912307485555,3.4471573930915413,28.391387336588743,orange,94,0.15495920181274414
-17.43631955475671,2.6125307401075433,28.243314158914167,orange,95,0.17195606231689453
-17.517061753996018,1.7221991237654664,28.124855616774507,orange,96,0.1725778579711914
-17.647135011609485,0.5515773431376445,28.03008878306278,orange,97,0.17210030555725098
-17.685714119478238,-0.6468380742527051,27.954275316093398,orange,98,0.16867899894714355
-17.638002007906813,-1.76272120389784,27.89362454251789,orange,99,0.17379355430603027
-17.53435282042765,-2.8911539012132303,27.845103923657486,orange,100,0.17125177383422852
-17.438337570799913,-4.1605852491088715,27.806287428569163,orange,101,0.18356037139892578
-17.470765185860714,-5.793522581579024,28.15662763178424,orange,104,0.5632071495056152
-17.46870914763511,-7.183866838377879,28.4368997943563,orange,105,0.18810224533081055
-16.865104516158375,-8.506128220873796,28.66111752441395,orange,107,0.405994176864624
-16.102239508234543,-9.63393265255614,28.840491708460068,orange,108,0.18619251251220703
-15.057976482644692,-10.522177132764893,28.98399105569696,orange,109,0.18712353706359863
-13.970582889704612,-11.232772716931896,29.09879053348648,orange,110,0.20182085037231445
-12.531432107803298,-11.901786006076925,29.40175860460841,orange,111,0.20152735710144043
-11.061132783800677,-12.465994700891274,29.644133061505954,orange,112,0.21953964233398438
-9.667407848361147,-12.90286262499359,29.838032627023992,orange,113,0.20152974128723145
-8.39293855076874,-13.266855996024606,29.99315227943842,orange,114,0.20218420028686523
-6.804675011240849,-13.428515807539666,29.906119512479645,orange,115,0.2163386344909668
-5.2680819420132154,-13.571842721888837,29.836493298912625,orange,116,0.21861624717712402
-2.841500275661952,-13.960520994355631,30.726647958287632,orange,119,0.7014727592468262
-0.6251401198671418,-14.245801709137325,31.175023481204658,orange,120,0.23055052757263184
1.5061708888583127,-14.613360593067855,31.79747210412126,orange,121,0.23386025428771973
3.3682700939116046,-14.799302071874529,32.03168279787156,orange,122,0.23412489891052246
5.003366493206949,-14.832921417978378,31.974840052332006,orange,123,0.2310800552368164
6.591464034298077,-14.854400125659923,31.70259821968483,orange,125,0.46681785583496094
7.926663823688546,-14.796544567207775,31.273676264676773,orange,126,0.23343157768249512
9.271749502071474,-14.63962687525751,30.733485444372697,orange,128,0.4665200710296631
10.449726912246446,-13.703418524432747,30.11699264514133,orange,132,1.018822431564331
11.365917041097614,-12.522287155507584,29.62379840575624,orange,133,0.2490065097808838
12.098869144178549,-11.22379276996853,29.229243014248166,orange,134,0.24617934226989746
12.61666239747619,-9.233871916166239,28.740779816990358,orange,136,0.49752306938171387
13.003390859591557,-7.2282399895966085,28.18766424689345,orange,137,0.24850153923034668
13.134885207221057,-4.519286383910181,27.44831233977014,orange,139,0.5642812252044678
-9.033003586344059,6.283318082125176,20.906869875480282,orange,151,3.2291274070739746
-9.656815586478746,6.006068304287538,20.906869875480286,orange,152,0.2651505470275879
-10.363778226243403,5.647122730109659,21.121299310100596,orange,153,0.2652571201324463
