,x,y,z
0,13.35773262988156,-3.9171810965415337,65.93705114574551
1,13.35773262988156,-3.9171810965415337,65.93705114574551
2,13.363978366635047,-3.9171810965415337,65.93705114574551
3,13.374596119115973,-3.9171810965415337,65.93705114574551
4,13.388149367871035,-3.923426833295019,65.93705114574551
5,13.40666797734512,-3.9402903225294295,65.93705114574551
6,13.428391274347417,-3.9644613237654176,65.93705114574551
7,13.440935238213203,-3.989821898864954,65.88995325206997
8,13.446619202943387,-4.015531755644255,65.80753193813779
9,13.461749320750494,-4.046778510797065,65.69908903794986
10,13.483378066416844,-4.0813868976757455,65.57195416120946
11,13.501414523117214,-4.11963986321337,65.3910665565378
12,13.51650380262807,-4.159751866074682,65.17113575468508
13,13.545408244531323,-4.208519593531353,64.9237314309933
14,13.578345027505302,-4.258638786033776,64.62220537123679
15,13.613526360390724,-4.308728649519093,64.28256205266865
16,13.654694803666883,-4.355258268286284,63.917346050589366
17,13.699350597558851,-4.398293918481079,63.5363469690624
18,13.750698829128567,-4.435415867743751,63.14716273797046
19,13.80583865119487,-4.467537513350041,62.75564963552007
20,13.847747634740857,-4.492269162082527,62.334767690064155
21,13.879292234881296,-4.511185380091226,61.8957742433786
22,13.889536487201129,-4.524993928264865,61.41939351751639
23,13.86173922822757,-4.538637024077022,60.894298475367364
24,13.807108026302243,-4.551888132272667,60.337431503261854
25,13.725702211827484,-4.5710020854675095,59.76198653411046
26,13.626646792606628,-4.593955007997877,59.17817673689572
27,13.495011903556712,-4.620271977436893,58.5712903560909
28,13.34255249401087,-4.648484721261354,57.952934635565676
29,13.161909702339816,-4.679528032211729,57.33204577405819
30,12.964587731372031,-4.711988485273755,56.71544061401926
31,12.732472017722285,-4.74181518869377,56.08784803143743
32,12.479947123614524,-4.769149058303137,55.45818093354882
33,12.189786388461478,-4.791409698448324,54.81468015931557
34,11.878331062458889,-4.809572400576397,54.16710079880273
35,11.476647691441451,-4.823023945173154,53.4904285038644
36,11.01803379543367,-4.832814425455428,52.798412301712084
37,10.474572271440135,-4.829222119366112,52.07418112078793
38,9.880889685776724,-4.8160660532110375,51.33270886780642
39,9.231373830133691,-4.805146657887167,50.61302189390186
40,8.527108948795815,-4.798415923227993,49.932617255184375
41,7.79751006658441,-4.794835638940587,49.28887123759624
42,7.037786188628951,-4.795360384123889,48.67942323224229
43,6.271566791296884,-4.798830255622436,48.10213619623987
44,5.491283614718249,-4.806116320155278,47.55506436730462
45,4.716480180613658,-4.816004322382154,47.036426814029774
46,3.9324392011205105,-4.833993489298017,46.561526034898186
47,3.137129364088638,-4.859301042765161,46.12461421190678
48,2.349612146369522,-4.889371683479885,45.720943113811835
49,1.568693308401734,-4.924115665512103,45.34657167761914
50,0.8081436806142582,-4.961529573652271,44.99821169883408
51,0.06270822620411898,-5.001962881740891,44.67310402746669
52,-0.6569363142861352,-5.0437614916306215,44.36891918645039
53,-1.3696686225571129,-5.0910750459384415,44.10223126060145
54,-2.064799330554892,-5.1341998585085165,43.84815415384783
55,-2.7333542721960127,-5.173446280776014,43.606202040674184
56,-3.3767848884816356,-5.210960664893836,43.37588444375306
57,-3.989257378185588,-5.246477693861533,43.15671225515306
58,-4.572726560897248,-5.281691617855318,42.948202298763114
59,-5.123643978920224,-5.31598302778801,42.74988073841671
60,-5.652183869551328,-5.3644412499892535,42.60024837761662
61,-6.159965372255029,-5.424703754148785,42.51167354431381
62,-6.642645205596926,-5.492260091235094,42.47038818024195
63,-7.10192531273425,-5.571086939574424,42.49051945779752
64,-7.5351720148615335,-5.656452019049142,42.55712607021439
65,-7.934243516522766,-5.742561918413086,42.65838787100167
66,-8.30072744381522,-5.827485890109996,42.784974996942594
67,-8.64324484194182,-5.915573914077729,42.95755597144985
68,-8.961655991106479,-6.004178295201101,43.16336646112245
69,-9.251566266400225,-6.088994290036557,43.392373277423985
70,-9.51515770700104,-6.169386326848003,43.6367192338005
71,-9.744975454540892,-6.244985273145934,43.89027947707022
72,-9.938715560673527,-6.3132331395306664,44.1483069759461
73,-10.102604962870313,-6.374823271050201,44.407149314093886
74,-10.24552292527711,-6.439057801493474,44.69553653850445
75,-10.37048309178698,-6.503911608552973,45.00349400423061
76,-10.481613325093814,-6.575033472786468,45.358961181403316
77,-10.572443944048796,-6.64653941497406,45.74698106750367
78,-10.646842228291344,-6.716891774444852,46.15586081352802
79,-10.697095322150048,-6.7823000212436195,46.57650525563438
80,-10.72895881705521,-6.842840341982555,47.001884422342
81,-10.753218195606927,-6.912214211855514,47.46742636259829
82,-10.77151742281313,-6.986560759707512,47.958836591349005
83,-10.773560131107109,-7.060100898397545,48.464992617067985
84,-10.763857291618407,-7.131589619717163,48.97729388822565
85,-10.728492876416954,-7.194371933404024,49.48914253320515
86,-10.657960576907355,-7.24673018097173,49.99552869583943
87,-10.563518046686083,-7.290535935982293,50.49269951026501
88,-10.433450356508004,-7.324407974901667,50.97789495190773
89,-10.280333904964586,-7.350450297456997,51.44913715581904
90,-10.096285836169997,-7.37033437777911,51.90506247701536
91,-9.893647964330459,-7.385386842086864,52.344787714136345
92,-9.664279353636351,-7.396659493578125,52.76780363498885
93,-9.420251983180837,-7.404985226811685,53.17389031626879
94,-9.14735240230756,-7.408122857885197,53.56304990866077
95,-8.838824177102131,-7.407462302782005,53.935453317574
96,-8.510813892481663,-7.404080264733648,54.29139799295423
97,-8.155038086325948,-7.3959065933759085,54.631274584095586
98,-7.7863866207879715,-7.384446419462568,54.955540665303985
99,-7.392639259006865,-7.367949360837629,55.26470009815125
